18
0 8
0 10
1 3
1 4
1 10
3 10
4 8
4 9
4 10
4 11
4 15
5 8
6 10
7 10
8 11
8 15
9 10
10 16
0 4 9
0 5 8
1 1 3
1 4 9
1 5 8
1 4 11
1 5 8
1 4 15
1 5 8
1 6 10
2 4 10
2 4 11
2 4 15
2 5 8
2 6 10
2 1 4
2 4 9
2 4 10
2 4 11
2 4 15
2 5 8
2 6 10
2 1 10
2 4 9
2 4 10
2 4 11
2 4 15
2 5 8
2 6 10
3 7 10
4 0 8
4 1 3
4 1 4
4 1 10
4 4 9
4 4 10
4 4 11
4 4 15
4 5 8
4 6 10
4 7 10
5 0 10
5 1 3
5 1 4
5 1 10
5 4 9
5 4 10
5 4 11
5 4 15
5 5 8
5 6 10
5 7 10
6 10 16
7 9 10
7 10 16
8 8 11
8 9 10
8 10 16
9 3 10
9 4 9
9 4 10
9 4 11
9 4 15
9 5 8
9 6 10
9 7 10
9 8 11
9 9 10
9 10 16
10 8 15
10 9 10
10 10 16
11 4 8
11 4 9
11 4 10
11 4 11
11 4 15
11 5 8
11 6 10
11 7 10
11 8 11
11 8 15
11 9 10
11 10 16
